DateTime,RecvRate,LostRate,DropRate,AvailBw,RTT,RecvBufs,PdDelay
2023-05-17T20:19:35+0800,35760,0,0,154408,164.838,1289,1300
2023-05-17T20:19:40+0800,34877,0,0,125653,164.805,1290,1300
2023-05-17T20:19:45+0800,33099,0,0,149969,165.073,1290,1300
2023-05-17T20:19:50+0800,33391,0,0,157781,164.859,1288,1300
2023-05-17T20:19:55+0800,36399,0,0,163559,164.813,1289,1300
2023-05-17T20:20:00+0800,34716,0,0,106047,164.813,1288,1300
2023-05-17T20:20:05+0800,33629,0,0,137360,164.730,1287,1300
2023-05-17T20:20:10+0800,35259,0,0,68184,164.754,1288,1300
2023-05-17T20:20:15+0800,34577,0,0,173427,164.723,1287,1300
2023-05-17T20:20:20+0800,34921,0,0,143790,164.656,1287,1300
2023-05-17T20:20:25+0800,34512,0,0,158042,164.779,1288,1300
2023-05-17T20:20:30+0800,34398,0,0,131288,164.872,1289,1300
2023-05-17T20:20:35+0800,34606,0,0,228621,165.014,1289,1300
2023-05-17T20:20:40+0800,34268,0,0,242395,164.999,1288,1300
2023-05-17T20:20:45+0800,32419,0,0,137381,165.118,1289,1300
2023-05-17T20:20:50+0800,18935,0,0,71895,165.509,1289,1300
2023-05-17T20:20:55+0800,14239,0,0,192336,165.376,1290,1300
2023-05-17T20:21:00+0800,34338,0,0,176941,165.242,1290,1300
2023-05-17T20:21:05+0800,34281,0,0,157009,165.181,1289,1300
2023-05-17T20:21:10+0800,33027,0,0,155094,165.204,1288,1300
2023-05-17T20:21:15+0800,36183,0,0,126055,164.995,1289,1300
2023-05-17T20:21:20+0800,34670,0,0,152004,164.928,1290,1300
2023-05-17T20:21:25+0800,32849,0,0,158793,164.930,1290,1300
2023-05-17T20:21:30+0800,36152,0,0,176321,164.963,1290,1300
2023-05-17T20:21:35+0800,33121,0,0,153462,165.002,1291,1300
2023-05-17T20:21:40+0800,33695,0,0,156323,165.168,1290,1300
2023-05-17T20:21:45+0800,36342,0,0,161024,165.503,1289,1300
2023-05-17T20:21:50+0800,34182,0,0,173329,165.494,1290,1300
2023-05-17T20:21:55+0800,32654,0,0,171925,165.370,1290,1300
2023-05-17T20:22:00+0800,36235,0,0,172600,165.384,1289,1300
2023-05-17T20:22:05+0800,34327,0,0,144051,166.837,1286,1300
2023-05-17T20:22:10+0800,34795,0,0,150992,166.665,1286,1300
